city,plan,score,target
HOU,basic,44.44055102225383,0
MIA,pro,56.72265171536114,1
CHI,basic,34.39442927562731,0
MIA,plus,70.00348089106103,1
MIA,plus,37.99868262269837,0
LA,plus,62.013804442176905,1
CHI,pro,59.49833716339598,1
CHI,basic,51.40907368071322,0
CHI,basic,53.544195851196626,1
MIA,basic,31.196874115474436,0
HOU,pro,67.66392001972417,1
CHI,plus,44.89055532713038,0
MIA,plus,62.103986331366386,1
LA,basic,48.48764034507771,0
HOU,plus,46.2547844090953,0
LA,plus,37.08783886863817,0
HOU,pro,50.34490634192662,0
MIA,pro,62.22313761664064,1
NYC,pro,44.92085700330625,0
HOU,pro,38.09400450422636,0
LA,basic,41.424511143389,0
MIA,pro,66.40005376622429,1
HOU,plus,67.81291077026367,1
NYC,basic,43.225843322852434,0
NYC,plus,34.51171320175908,0
CHI,plus,46.56870935895902,0
CHI,plus,51.83855514409559,0
LA,pro,63.77897135098834,1
HOU,pro,79.34641248007408,1
HOU,basic,52.268488219807864,1
CHI,basic,66.55461625378922,1
HOU,pro,53.37074577936352,1
HOU,plus,50.865658145225545,0
NYC,basic,44.071172675396454,0
CHI,pro,51.199956658820575,0
MIA,pro,55.36594155132727,1
CHI,pro,55.19345124659179,1
MIA,plus,43.96024080502252,0
NYC,pro,52.50747092635698,1
LA,pro,68.96796254441404,1
HOU,pro,79.13112156958202,1
NYC,pro,53.01593377293554,1
HOU,basic,46.756045524326005,0
LA,basic,55.24609000630509,1
LA,pro,89.87033338072969,1
NYC,plus,50.84163521007921,1
LA,basic,59.72632866898791,1
MIA,pro,73.44474838707792,1
LA,basic,53.440681314020225,1
HOU,basic,59.26232542885034,1
HOU,plus,56.078385403348044,1
HOU,pro,68.32512792827882,1
HOU,pro,47.65597643514315,0
MIA,plus,52.04282942001329,1
CHI,plus,54.81217728428127,1
NYC,pro,62.67057172728888,1
HOU,pro,69.37017418633458,1
LA,plus,54.46890144774068,1
HOU,basic,38.550514799285985,0
